Handle,Title,Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Included / Canada,Price / Canada,Compare At Price / Canada,Included / Eurozone,Price / Eurozone,Compare At Price / Eurozone,Included / International,Price / International,Compare At Price / International,Included / Japan,Price / Japan,Compare At Price / Japan,Included / New Zealand,Price / New Zealand,Compare At Price / New Zealand,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Included / United States,Price / United States,Compare At Price / United States,Status,New SKU,FinalSKU
sad-songs-tee,,,,,,,,Black,,Regular,,2XL,TEE-SADSONGS-,150,shopify,9,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee1.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-BLK-REG-2XL,TEE-SADSONGS-BLK-REG-2XL-BL
sad-songs-tee,,,,,,,,Black,,Regular,,3XL,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee1.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-BLK-REG-3XL,TEE-SADSONGS-BLK-REG-3XL-BL
sad-songs-tee,,,,,,,,Army Green,,Maple,,XS,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee2.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-AMY-MPL-XS,TEE-SADSONGS-AMY-MPL-XS-LT
sad-songs-tee,,,,,,,,Army Green,,Maple,,S,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee2.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-AMY-MPL-S,TEE-SADSONGS-AMY-MPL-S-LT
sad-songs-tee,,,,,,,,Army Green,,Maple,,M,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee2.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-AMY-MPL-M,TEE-SADSONGS-AMY-MPL-M-LT
sad-songs-tee,,,,,,,,Army Green,,Maple,,L,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee2.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-AMY-MPL-L,TEE-SADSONGS-AMY-MPL-L-LT
sad-songs-tee,,,,,,,,Army Green,,Maple,,XL,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee2.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-AMY-MPL-XL,TEE-SADSONGS-AMY-MPL-XL-LT
sad-songs-tee,,,,,,,,Army Green,,Maple,,2XL,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee2.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-AMY-MPL-2XL,TEE-SADSONGS-AMY-MPL-2XL-LT
sad-songs-tee,,,,,,,,Black,,Maple,,XS,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee1.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-BLK-MPL-XS,TEE-SADSONGS-BLK-MPL-XS-BL
sad-songs-tee,,,,,,,,Black,,Maple,,S,TEE-SADSONGS-,150,shopify,10,continue,manual,45,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0549/8005/1111/products/SadSongsTee1.jpg?v=1672492931,kg,,,,,,,,,,,,,,,,,,,,,,,,,,TEE-SADSONGS-BLK-MPL-S,TEE-SADSONGS-BLK-MPL-S-BL
